C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x2xyy2 mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  31500 | loss 0.0000/20.5638 | acc 1.000/0.207 | pre
Ep  31600 | loss 0.0000/21.4417 | acc 1.000/0.206 | pre
Ep  31700 | loss 0.0000/22.0243 | acc 1.000/0.205 | pre
Ep  31800 | loss 0.0000/22.3602 | acc 1.000/0.201 | pre
Ep  31900 | loss 0.0004/19.0933 | acc 1.000/0.185 | pre
Ep  32000 | loss 0.0022/11.4497 | acc 1.000/0.203 | pre
Ep  32100 | loss 0.0019/11.3843 | acc 1.000/0.203 | pre
Ep  32200 | loss 0.0007/12.6801 | acc 1.000/0.203 | pre
Ep  32300 | loss 0.0003/14.0433 | acc 1.000/0.202 | pre
Ep  32400 | loss 0.0001/15.4245 | acc 1.000/0.202 | pre
Ep  32500 | loss 0.0000/16.8095 | acc 1.000/0.202 | pre
Ep  32600 | loss 0.0000/18.1763 | acc 1.000/0.202 | pre
Ep  32700 | loss 0.0000/19.4870 | acc 1.000/0.202 | pre
Ep  32800 | loss 0.0000/20.6841 | acc 1.000/0.202 | pre
Ep  32900 | loss 0.0000/21.6682 | acc 1.000/0.201 | pre
Ep  33000 | loss 0.0000/22.3217 | acc 1.000/0.200 | pre
Ep  33100 | loss 0.0000/22.6348 | acc 1.000/0.197 | pre
Ep  33200 | loss 0.0000/22.6703 | acc 1.000/0.197 | pre
Ep  33300 | loss 0.0006/15.8198 | acc 1.000/0.194 | pre
Ep  33400 | loss 0.0084/9.8109 | acc 1.000/0.201 | pre
Ep  33500 | loss 0.0076/9.7711 | acc 1.000/0.201 | pre
Ep  33600 | loss 0.0030/10.9054 | acc 1.000/0.202 | pre
